row_id,country_name,water_source,water_tech,status_id,management,pay,installer,install_year,status,source,adm1,adm2,wpdx_id,report_date,country_id,activity_id,data_lnk,orig_lnk,photo_lnk,converted,created,updated,lat_deg,lon_deg,location,count,fecal_coliform_presence,fecal_coliform_value,subjective_quality
128,Nicaragua,,New Community Well Project,yes,,,,2006,,El Porvenier,Boaco,Camoapa,wpdx-00000128,01/01/2006 12:00:00 AM +0000,NI,,http://www.dropbox.com/s/0f70mln5roxhy29/ProjToDate%20Watsan%2020150330%20water%20only%20for%20GWC-Raw.xls?dl=0,,,"#data_lnk, #lon_deg, #lat_deg, #country_id",10/23/2015 01:03:07 AM +0000,10/23/2015 01:03:07 AM +0000,12.4452,-85.5314,"(12.4452, -85.5314)",1,,,
129,Nicaragua,,Rehabilitate Well Project,yes,,,,2006,,El Porvenier,Boaco,Camoapa,wpdx-00000129,01/01/2006 12:00:00 AM +0000,NI,,http://www.dropbox.com/s/0f70mln5roxhy29/ProjToDate%20Watsan%2020150330%20water%20only%20for%20GWC-Raw.xls?dl=0,,,"#data_lnk, #lon_deg, #lat_deg, #country_id",10/23/2015 01:03:07 AM +0000,10/23/2015 01:03:07 AM +0000,12.4593,-85.5306,"(12.4593, -85.5306)",1,,,
130,Nicaragua,,0,yes,,,,2013,,El Porvenier,,Boaco,wpdx-00000130,01/01/2013 12:00:00 AM +0000,NI,,http://www.dropbox.com/s/0f70mln5roxhy29/ProjToDate%20Watsan%2020150330%20water%20only%20for%20GWC-Raw.xls?dl=0,,,"#data_lnk, #lon_deg, #lat_deg, #country_id",10/23/2015 01:03:07 AM +0000,10/23/2015 01:03:07 AM +0000,12.4496,-85.53,"(12.4496, -85.53)",1,,,
131,Nicaragua,,New Community Well Project,yes,,,,2004,,El Porvenier,Boaco,Camoapa,wpdx-00000131,01/01/2004 12:00:00 AM +0000,NI,,http://www.dropbox.com/s/0f70mln5roxhy29/ProjToDate%20Watsan%2020150330%20water%20only%20for%20GWC-Raw.xls?dl=0,,,"#data_lnk, #lon_deg, #lat_deg, #country_id",10/23/2015 01:03:07 AM +0000,10/23/2015 01:03:07 AM +0000,12.3822,-85.5284,"(12.3822, -85.5284)",1,,,
132,Nicaragua,,0,yes,,,,2010,,El Porvenier,Boaco,Camoapa,wpdx-00000132,01/01/2010 12:00:00 AM +0000,NI,,http://www.dropbox.com/s/0f70mln5roxhy29/ProjToDate%20Watsan%2020150330%20water%20only%20for%20GWC-Raw.xls?dl=0,,,"#data_lnk, #lon_deg, #lat_deg, #country_id",10/23/2015 01:03:07 AM +0000,10/23/2015 01:03:07 AM +0000,12.3609,-85.5247,"(12.3609, -85.5247)",1,,,
401,Afghanistan,,DUG WELL,yes,,,DACAAR,2001,OK,DACAAR,Khost,Spera,wpdx-00000401,10/27/2003 12:00:00 AM +0000,AF,,http://www.dropbox.com/s/3ns28lb7x8acr4m/DACAAR%20Water%20points%202_raw.xlsx?dl=0,,,"#status_id, #source, #country_id, #data_lnk",10/23/2015 01:03:12 AM +0000,10/23/2015 01:03:12 AM +0000,33.1229,69.412,"(33.1229, 69.412)",1,,,
133,Nicaragua,,New Community Well Project,yes,,,,2000,,El Porvenier,Boaco,Camoapa,wpdx-00000133,01/01/2000 12:00:00 AM +0000,NI,,http://www.dropbox.com/s/0f70mln5roxhy29/ProjToDate%20Watsan%2020150330%20water%20only%20for%20GWC-Raw.xls?dl=0,,,"#data_lnk, #lon_deg, #lat_deg, #country_id",10/23/2015 01:03:07 AM +0000,10/23/2015 01:03:07 AM +0000,12.3597,-85.5243,"(12.3597, -85.5243)",1,,,
134,Nicaragua,,New Community Well Project,yes,,,,2007,,El Porvenier,Boaco,Camoapa,wpdx-00000134,01/01/2007 12:00:00 AM +0000,NI,,http://www.dropbox.com/s/0f70mln5roxhy29/ProjToDate%20Watsan%2020150330%20water%20only%20for%20GWC-Raw.xls?dl=0,,,"#data_lnk, #lon_deg, #lat_deg, #country_id",10/23/2015 01:03:07 AM +0000,10/23/2015 01:03:07 AM +0000,12.3597,-85.5243,"(12.3597, -85.5243)",1,,,
135,Nicaragua,,New Community Well Project,yes,,,,2012,,El Porvenier,Boaco,Camoapa,wpdx-00000135,01/01/2012 12:00:00 AM +0000,NI,,http://www.dropbox.com/s/0f70mln5roxhy29/ProjToDate%20Watsan%2020150330%20water%20only%20for%20GWC-Raw.xls?dl=0,,,"#data_lnk, #lon_deg, #lat_deg, #country_id",10/23/2015 01:03:07 AM +0000,10/23/2015 01:03:07 AM +0000,12.3597,-85.5243,"(12.3597, -85.5243)",1,,,
136,Nicaragua,,Spring Capture,yes,,,,2000,,El Porvenier,Boaco,Camoapa,wpdx-00000136,01/01/2000 12:00:00 AM +0000,NI,,http://www.dropbox.com/s/0f70mln5roxhy29/ProjToDate%20Watsan%2020150330%20water%20only%20for%20GWC-Raw.xls?dl=0,,,"#data_lnk, #lon_deg, #lat_deg, #country_id",10/23/2015 01:03:07 AM +0000,10/23/2015 01:03:07 AM +0000,12.4079,-85.5229,"(12.4079, -85.5229)",1,,,
137,Nicaragua,,New Community Well Project,yes,,,,2008,,El Porvenier,Boaco,Camoapa,wpdx-00000137,01/01/2008 12:00:00 AM +0000,NI,,http://www.dropbox.com/s/0f70mln5roxhy29/ProjToDate%20Watsan%2020150330%20water%20only%20for%20GWC-Raw.xls?dl=0,,,"#data_lnk, #lon_deg, #lat_deg, #country_id",10/23/2015 01:03:07 AM +0000,10/23/2015 01:03:07 AM +0000,12.5022,-85.5201,"(12.5022, -85.5201)",1,,,
138,Nicaragua,,Rehabilitate Well Project,yes,,,,2009,,El Porvenier,Boaco,Camoapa,wpdx-00000138,01/01/2009 12:00:00 AM +0000,NI,,http://www.dropbox.com/s/0f70mln5roxhy29/ProjToDate%20Watsan%2020150330%20water%20only%20for%20GWC-Raw.xls?dl=0,,,"#data_lnk, #lon_deg, #lat_deg, #country_id",10/23/2015 01:03:07 AM +0000,10/23/2015 01:03:07 AM +0000,12.3809,-85.5181,"(12.3809, -85.5181)",1,,,
139,Nicaragua,,Rehabilitate Well Project,yes,,,,1995,,El Porvenier,Boaco,Camoapa,wpdx-00000139,01/01/1995 12:00:00 AM +0000,NI,,http://www.dropbox.com/s/0f70mln5roxhy29/ProjToDate%20Watsan%2020150330%20water%20only%20for%20GWC-Raw.xls?dl=0,,,"#data_lnk, #lon_deg, #lat_deg, #country_id",10/23/2015 01:03:07 AM +0000,10/23/2015 01:03:07 AM +0000,12.389,-85.5161,"(12.389, -85.5161)",1,,,
140,Nicaragua,,Rehabilitate Well Project,yes,,,,1994,,El Porvenier,Boaco,Camoapa,wpdx-00000140,01/01/1994 12:00:00 AM +0000,NI,,http://www.dropbox.com/s/0f70mln5roxhy29/ProjToDate%20Watsan%2020150330%20water%20only%20for%20GWC-Raw.xls?dl=0,,,"#data_lnk, #lon_deg, #lat_deg, #country_id",10/23/2015 01:03:07 AM +0000,10/23/2015 01:03:07 AM +0000,12.3851,-85.5152,"(12.3851, -85.5152)",1,,,
